זמן,תנודתיות צפויה,תיאור,בפועל,תחזית,הקודם
16:30,גבוהה,יו“ר הפד ג'רום פאוול נושא דברים,,,
17:00,גבוהה,מדד ISM במגזר הייצור  (יוני),49.0,48.8,48.5
17:00,גבוהה,סקר מחזור משרות פתוחות ותעסוקה  (מאי),7.769M,7.320M,7.395M
15:15,גבוהה,מדד התעסוקה של ADP  (יוני),-33K,99K,29K
17:30,גבוהה,מלאי נפט גולמי,3.845M,-3.500M,-5.836M
,חופשה,ארצות הברית - יום העצמאות - שעת סגירה מוקדמת - 13:00,,,
15:30,גבוהה,שכר ממוצע לשעת עבודה (חודשי)  (יוני),0.2%,0.3%,0.4%
15:30,גבוהה,תביעות ראשוניות לדמי אבטלה,233K,240K,237K
15:30,גבוהה,השינוי במספר המועסקים במגזר הלא-חקלאי  (יוני),147K,111K,144K
15:30,גבוהה,שיעור האבטלה  (יוני),4.1%,4.3%,4.2%
16:45,גבוהה,מדד מנהלי הרכש - מגזר השירותים  (יוני),52.9,53.1,53.1
17:00,גבוהה,מדד ISM במגזר הלא-יצרני  (יוני),50.8,50.8,49.9
כל היום,חופשה,ארצות הברית - יום העצמאות,,,
17:30,גבוהה,מלאי נפט גולמי,7.070M,-1.700M,3.845M
21:00,גבוהה,פרוטוקול פגישת ועדת השוק הפתוח,,,
15:30,גבוהה,תביעות ראשוניות לדמי אבטלה,227K,236K,232K
15:30,גבוהה,מדד המחירים לצרכן - ליבה (חודשי)  (יוני),,0.3%,0.1%
15:30,גבוהה,מדד המחירים לצרכן (חודשי)  (יוני),,0.3%,0.1%
15:30,גבוהה,מדד המחירים לצרכן (שנתי)  (יוני),,2.6%,2.4%
15:30,גבוהה,מדד המחירים ליצרן (חודשי)  (יוני),,0.3%,0.1%
17:30,גבוהה,מלאי נפט גולמי,,,7.070M
15:30,גבוהה,מכירות קמעונאיות - ליבה (חודשי)  (יוני),,0.3%,-0.3%
15:30,גבוהה,תביעות ראשוניות לדמי אבטלה,,234K,227K
15:30,גבוהה,מדד הייצור - הפד של פילדלפיה  (יולי),,0.4,-4.0
15:30,גבוהה,מכירות קמעונאיות (חודשי)  (יוני),,0.2%,-0.9%
17:00,גבוהה,מכירות בתים קיימים  (יוני),,,4.03M
16:45,גבוהה,מדד מנהלי הרכש - מגזר הייצור  (יולי),,,52.9
16:45,גבוהה,מדד מנהלי הרכש - מגזר השירותים  (יולי),,,52.9
17:00,גבוהה,מכירות בתים חדשים  (יוני),,,623K
15:30,גבוהה,הזמנות מוצרים ברי קיימא (חודשי)  (יוני),,,16.4%
17:00,גבוהה,מדד אמון הצרכן של CB  (יולי),,,93.0
17:00,גבוהה,סקר מחזור משרות פתוחות ותעסוקה  (יוני),,,7.769M
15:15,גבוהה,מדד התעסוקה של ADP  (יולי),,,-33K
15:30,גבוהה,"תמ""ג (רבעוני)  (ר2)",,,-0.5%
21:00,גבוהה,החלטת הריבית,,,4.50%
15:30,גבוהה,מדד הליבה של ההוצאה לצריכה פרטית (חודשי)  (יוני),,,0.2%
15:30,גבוהה,מדד הליבה של ההוצאה לצריכה פרטית (שנתי)  (יוני),,,2.7%
15:30,גבוהה,שכר ממוצע לשעת עבודה (חודשי)  (יולי),,,0.2%
15:30,גבוהה,השינוי במספר המועסקים במגזר הלא-חקלאי  (יולי),,,147K
15:30,גבוהה,שיעור האבטלה  (יולי),,,4.1%
16:45,גבוהה,מדד מנהלי הרכש - מגזר הייצור  (יולי),,,52.9
17:00,גבוהה,מדד ISM במגזר הייצור  (יולי),,,49.0
